Date,Balance
23 Apr 2020,$861.20 CR
23 Apr 2020,$831.20 CR
24 Apr 2020,$773.21 CR
24 Apr 2020,$746.21 CR
24 Apr 2020,$239.84 CR
25 Apr 2020,$227.09 CR
25 Apr 2020,$201.59 CR
25 Apr 2020,$110.59 CR
26 Apr 2020,$180.59 CR
27 Apr 2020,$439.59 CR
27 Apr 2020,$180.59 CR
27 Apr 2020,$175.59 CR
28 Apr 2020,$155.60 CR
28 Apr 2020,$145.60 CR
28 Apr 2020,$65.00 CR
29 Apr 2020,$8.94 CR
30 Apr 2020,$708.94 CR
30 Apr 2020,$8.94 CR
01 May 2020,$28.94 CR
01 May 2020,$1.94 CR
05 May 2020,$22.94 CR
05 May 2020,$28.94 CR
07 May 2020,$78.94 CR
08 May 2020,$51.89 CR
09 May 2020,$129.89 CR
09 May 2020,$48.50 CR
09 May 2020,$118.50 CR
09 May 2020,$106.50 CR
09 May 2020,$104.50 CR
10 May 2020,$154.50 CR
12 May 2020,$98.35 CR
12 May 2020,$96.67 CR
12 May 2020,$48.17 CR
12 May 2020,$49.94 CR
12 May 2020,"$2,049.94 CR"
12 May 2020,"$2,040.72 CR"
12 May 2020,"$2,064.72 CR"
12 May 2020,"$1,964.72 CR"
12 May 2020,"$1,954.72 CR"
12 May 2020,"$1,946.72 CR"
13 May 2020,"$1,935.73 CR"
14 May 2020,"$1,885.79 CR"
14 May 2020,"$1,797.61 CR"
15 May 2020,"$1,749.11 CR"
15 May 2020,"$1,699.11 CR"
15 May 2020,$972.11 CR
15 May 2020,"$1,004.11 CR"
16 May 2020,$934.61 CR
16 May 2020,$922.62 CR
16 May 2020,$888.57 CR
16 May 2020,$872.09 CR
16 May 2020,$822.09 CR
16 May 2020,$775.39 CR
19 May 2020,$731.50 CR
19 May 2020,$709.01 CR
19 May 2020,$609.01 CR
19 May 2020,$606.51 CR
19 May 2020,$540.96 CR
20 May 2020,$527.96 CR
20 May 2020,$520.15 CR
20 May 2020,$519.92 CR
20 May 2020,$387.28 CR
20 May 2020,$339.34 CR
21 May 2020,$306.24 CR
21 May 2020,$265.84 CR
21 May 2020,$215.84 CR
21 May 2020,$235.84 CR
22 May 2020,$204.84 CR
22 May 2020,$176.67 CR
22 May 2020,$120.93 CR
