Date,Balance
01 Apr 2019,"$4,890.84 CR"
01 Apr 2019,"$4,924.34 CR"
01 Apr 2019,"$4,935.34 CR"
02 Apr 2019,"$4,910.37 CR"
02 Apr 2019,"$4,909.62 CR"
02 Apr 2019,"$4,877.62 CR"
02 Apr 2019,"$4,838.63 CR"
03 Apr 2019,"$4,799.63 CR"
03 Apr 2019,"$4,734.63 CR"
03 Apr 2019,"$4,658.41 CR"
03 Apr 2019,"$4,626.41 CR"
03 Apr 2019,"$4,574.41 CR"
04 Apr 2019,"$4,531.41 CR"
05 Apr 2019,"$4,493.91 CR"
05 Apr 2019,"$4,477.76 CR"
06 Apr 2019,"$4,442.77 CR"
06 Apr 2019,"$4,401.37 CR"
06 Apr 2019,"$4,362.37 CR"
07 Apr 2019,"$4,330.87 CR"
08 Apr 2019,"$4,295.87 CR"
08 Apr 2019,"$4,297.87 CR"
08 Apr 2019,"$4,281.87 CR"
08 Apr 2019,"$4,271.37 CR"
09 Apr 2019,"$4,274.87 CR"
09 Apr 2019,"$4,268.88 CR"
09 Apr 2019,"$4,231.38 CR"
09 Apr 2019,"$4,191.38 CR"
09 Apr 2019,"$4,211.38 CR"
10 Apr 2019,"$4,183.81 CR"
10 Apr 2019,"$4,182.98 CR"
10 Apr 2019,"$4,124.98 CR"
10 Apr 2019,"$4,074.48 CR"
10 Apr 2019,"$4,059.48 CR"
10 Apr 2019,"$4,019.16 CR"
10 Apr 2019,"$3,019.16 CR"
11 Apr 2019,"$2,957.66 CR"
11 Apr 2019,"$2,901.16 CR"
11 Apr 2019,"$2,866.16 CR"
12 Apr 2019,"$2,833.36 CR"
12 Apr 2019,"$2,734.92 CR"
12 Apr 2019,"$2,718.77 CR"
15 Apr 2019,"$2,728.77 CR"
16 Apr 2019,"$2,751.27 CR"
16 Apr 2019,"$2,709.24 CR"
16 Apr 2019,"$2,707.98 CR"
16 Apr 2019,"$2,697.98 CR"
16 Apr 2019,"$2,660.69 CR"
18 Apr 2019,"$2,653.70 CR"
18 Apr 2019,"$2,587.75 CR"
18 Apr 2019,"$2,558.25 CR"
19 Apr 2019,"$2,548.25 CR"
19 Apr 2019,"$2,484.25 CR"
22 Apr 2019,"$2,456.63 CR"
23 Apr 2019,"$7,456.63 CR"
23 Apr 2019,"$7,440.48 CR"
24 Apr 2019,"$7,408.98 CR"
24 Apr 2019,"$7,373.53 CR"
24 Apr 2019,"$7,356.98 CR"
24 Apr 2019,"$7,356.48 CR"
24 Apr 2019,"$7,341.48 CR"
24 Apr 2019,"$7,294.48 CR"
24 Apr 2019,"$7,251.48 CR"
24 Apr 2019,"$7,279.10 CR"
24 Apr 2019,"$7,276.60 CR"
25 Apr 2019,"$7,218.25 CR"
25 Apr 2019,"$7,163.99 CR"
25 Apr 2019,"$7,127.04 CR"
25 Apr 2019,"$7,110.19 CR"
26 Apr 2019,"$7,088.24 CR"
26 Apr 2019,"$6,088.24 CR"
26 Apr 2019,"$6,072.09 CR"
27 Apr 2019,"$6,016.59 CR"
27 Apr 2019,"$5,982.10 CR"
27 Apr 2019,"$5,944.60 CR"
27 Apr 2019,"$5,835.29 CR"
30 Apr 2019,"$5,787.29 CR"
30 Apr 2019,"$5,772.79 CR"
01 May 2019,"$5,735.29 CR"
01 May 2019,"$5,748.79 CR"
01 May 2019,"$5,697.79 CR"
01 May 2019,"$5,659.79 CR"
01 May 2019,"$5,621.84 CR"
02 May 2019,"$5,566.94 CR"
