Date,Balance
21 Feb 2020,$722.26 CR
21 Feb 2020,$720.96 CR
21 Feb 2020,$694.11 CR
21 Feb 2020,$573.36 CR
21 Feb 2020,$561.03 CR
21 Feb 2020,$544.88 CR
22 Feb 2020,$508.03 CR
23 Feb 2020,"$2,108.03 CR"
23 Feb 2020,$508.03 CR
23 Feb 2020,$501.91 CR
24 Feb 2020,$490.03 CR
25 Feb 2020,$471.03 CR
25 Feb 2020,$381.99 CR
25 Feb 2020,$363.84 CR
25 Feb 2020,$363.30 CR
25 Feb 2020,$343.30 CR
25 Feb 2020,$328.30 CR
26 Feb 2020,$312.40 CR
26 Feb 2020,$362.40 CR
26 Feb 2020,$315.30 CR
26 Feb 2020,$273.35 CR
27 Feb 2020,$262.62 CR
27 Feb 2020,$142.62 CR
28 Feb 2020,$122.62 CR
28 Feb 2020,$95.98 CR
28 Feb 2020,$95.18 CR
28 Feb 2020,$55.88 CR
28 Feb 2020,$39.88 CR
28 Feb 2020,$139.88 CR
28 Feb 2020,$123.73 CR
01 Mar 2020,$123.70 CR
01 Mar 2020,$111.31 CR
03 Mar 2020,$101.31 CR
03 Mar 2020,$91.15 CR
03 Mar 2020,$121.15 CR
03 Mar 2020,$291.15 CR
03 Mar 2020,$300.15 CR
03 Mar 2020,$314.15 CR
04 Mar 2020,$514.15 CR
04 Mar 2020,$524.15 CR
05 Mar 2020,$484.76 CR
05 Mar 2020,$479.76 CR
05 Mar 2020,$279.76 CR
05 Mar 2020,$255.76 CR
06 Mar 2020,$55.76 CR
06 Mar 2020,$20.46 CR
06 Mar 2020,$4.31 CR
06 Mar 2020,$20.46 CR
06 Mar 2020,$15.46 CR
07 Mar 2020,$3.47 CR
07 Mar 2020,$23.47 CR
10 Mar 2020,$6.27 CR
10 Mar 2020,"$3,006.27 CR"
10 Mar 2020,"$2,556.27 CR"
10 Mar 2020,"$2,503.15 CR"
13 Mar 2020,"$2,480.66 CR"
13 Mar 2020,"$2,471.66 CR"
13 Mar 2020,"$2,430.41 CR"
13 Mar 2020,"$2,422.91 CR"
13 Mar 2020,"$2,390.61 CR"
14 Mar 2020,"$2,349.81 CR"
14 Mar 2020,"$2,316.83 CR"
15 Mar 2020,"$2,291.83 CR"
16 Mar 2020,"$2,311.83 CR"
16 Mar 2020,"$1,706.33 CR"
16 Mar 2020,"$1,680.33 CR"
