revenue,potential_revenue,pl_inventory_percentage
704.45,883.95,-25.48
114.01,178.32,-56.41
378.19,572.01,-51.25
504.92,607.05,-20.23
283.08,407.03,-43.79
458.83,625.53,-36.33
332.78,371.01,-11.49
843.43,1088.98,-29.11
207.58,318.9,-53.63
25.98,34.96,-34.57
664.27,886.13,-33.4
600.9,959.32,-59.65
33.26,86.18,-159.11
651.16,830.69,-27.57
682.87,969.19,-41.93
184.74,225.17,-21.88
129.28,158.24,-22.4
217.06,265.28,-22.22
279.57,387.88,-38.74
79.23,88.48,-11.67
460.14,673.64,-46.4
318.24,506.95,-59.3
344.7,485.95,-40.98
632.84,835.13,-31.97
422.41,617.91,-46.28
0.0,0.0,0.0
625.45,863.78,-38.11
665.16,1162.15,-74.72
307.93,353.8,-14.9
388.45,574.02,-47.77
365.88,543.81,-48.63
280.17,352.77,-25.91
614.28,973.78,-58.52
261.99,522.61,-99.48
545.07,673.09,-23.49
359.52,485.14,-34.94
290.78,426.52,-46.68
259.08,406.22,-56.79
163.18,223.16,-36.76
368.99,580.83,-57.41
446.32,718.63,-61.01
224.0,287.2,-28.21
35.78,39.03,-9.08
658.31,880.15,-33.7
769.24,1022.86,-32.97
351.17,540.47,-53.91
93.96,183.87,-95.69
443.24,736.82,-66.23
350.1,478.5,-36.68
454.11,633.48,-39.5
481.69,852.56,-76.99
478.95,622.44,-29.96
100.34,145.5,-45.01
495.0,696.51,-40.71
170.82,211.24,-23.66
637.58,835.62,-31.06
124.49,157.44,-26.47
460.91,602.05,-30.62
97.37,127.98,-31.44
370.72,557.91,-50.49
336.62,481.57,-43.06
573.51,923.59,-61.04
710.95,989.95,-39.24
419.55,529.35,-26.17
593.36,855.72,-44.22
382.22,512.01,-33.96
515.74,715.74,-38.78
279.17,426.84,-52.9
635.43,868.45,-36.67
55.78,105.51,-89.15
343.64,499.4,-45.33
177.63,236.25,-33.0
40.96,72.7,-77.49
166.6,232.87,-39.78
22.13,27.13,-22.59
789.47,1050.24,-33.03
396.57,569.12,-43.51
363.33,481.51,-32.53
735.34,994.09,-35.19
75.12,153.92,-104.9
433.77,627.62,-44.69
13.74,27.03,-96.72
705.03,898.59,-27.45
532.3,697.27,-30.99
395.93,638.33,-61.22
395.08,541.13,-36.97
294.05,360.7,-22.67
427.19,658.07,-54.05
637.74,958.7,-50.33
357.59,425.21,-18.91
646.72,815.45,-26.09
603.66,898.14,-48.78
221.16,328.08,-48.35
760.07,989.21,-30.15
652.72,871.64,-33.54
432.1,560.55,-29.73
110.33,184.6,-67.32
535.73,767.14,-43.2
771.27,997.9,-29.38
662.99,1034.55,-56.04
443.26,611.7,-38.0
401.96,530.5,-31.98
28.23,35.21,-24.73
723.33,814.03,-12.54
283.68,413.64,-45.81
216.2,291.77,-34.95
36.82,42.57,-15.62
206.57,248.1,-20.1
