,num_hidden_layers,neurons_per_layer,dropout_rate,optimizer,activation_function,fitness_scores
17,3.0,54.0,0.11309953817463135,adadelta,relu,0.40950564124557937
18,2.0,100.0,0.1869519485002175,adadelta,relu,0.4076401142716932
19,3.0,87.0,0.19975421731532286,adadelta,relu,0.38797479300884874
20,2.0,89.0,0.19975421731532286,adadelta,relu,0.360569502221205
21,2.0,85.0,0.014485933029906415,adadelta,relu,0.38633095212769464
22,2.0,89.0,0.2084752465079731,adadelta,relu,0.3628230100718789
23,4.0,110.0,0.1869519485002175,adadelta,relu,0.3951051554568582
0,2.0,93.0,0.3573950720429822,adagrad,relu,0.3610211438114976
1,2.0,93.0,0.19975421731532286,adagrad,relu,0.35661564281871977
2,2.0,70.0,0.15968542357927834,adagrad,relu,0.36738575054714506
3,6.0,85.0,0.17298116180354806,adagrad,relu,0.4261347611452875
4,2.0,75.0,0.1869519485002175,adagrad,relu,0.3690451090361307
5,1.0,39.0,0.2589180623217192,adagrad,relu,0.36083151986584483
6,2.0,100.0,0.11309953817463135,adagrad,relu,0.36460011384496516
7,2.0,69.0,0.19975421731532286,adagrad,relu,0.38585221615990845
8,3.0,85.0,0.12316073143079966,adagrad,relu,0.38438365666579427
9,5.0,75.0,0.17298116180354806,adagrad,relu,0.40353998808209335
10,3.0,82.0,0.23204372201091866,adagrad,relu,0.4038986471045295
11,3.0,82.0,0.34089661776708285,adagrad,relu,0.36429955632780847
12,2.0,85.0,0.014485933029906415,adagrad,relu,0.3706364705469969
13,3.0,44.0,0.1869519485002175,adagrad,relu,0.38686196074307533
14,3.0,101.0,0.3398756843981485,adagrad,relu,0.4066563969437986
15,3.0,95.0,0.3398756843981485,adagrad,relu,0.367514361763332
16,3.0,97.0,0.3398756843981485,adagrad,relu,0.3504295358400431
17,3.0,54.0,0.11309953817463135,adagrad,relu,0.39131575211704434
18,2.0,100.0,0.1869519485002175,adagrad,relu,0.40451995885356207
19,3.0,87.0,0.19975421731532286,adagrad,relu,0.38264402565760036
20,2.0,89.0,0.19975421731532286,adagrad,relu,0.3728206186658199
21,2.0,85.0,0.014485933029906415,adagrad,relu,0.38502111396229044
22,2.0,89.0,0.2084752465079731,adagrad,relu,0.41377311368131126
23,4.0,110.0,0.1869519485002175,adagrad,relu,0.37567000581118226
0,2.0,93.0,0.3573950720429822,adamax,relu,0.38085344387559206
