cu,pb,zn,fe,p,ag,as,o,sb,te,ni,bi,cd,sn,s,mn,zr,mg,co,al,be,cr,si,ti,ca,li,b,c,nb,se,thermal_conductivity
97.225,0.4,0,0.2,0,0,0,0,0,0,0.7,0,0,0.25,0,0,0.5,0,0,0.2,0.325,0,0.2,0,0,0,0,0,0,0,128
96.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.2,0.55,0,0.2,0,0,0,0,0,0,0,120
98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0,0,0,120
96.45,0,0,0.2,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0.6,0.3,0,0.2,0,0,0,0,0,0,0,90
95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0,0,0,135
99.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.2,0.05,0,0,0,0,0,0,0,191
99.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
99.425,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.02,0,0,0,0.25,0.005,0,0,0,0,0,0,0,180
99.1,0,0.275,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.275,0.05,0,0,0,0,0,0,0,174
99.36,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.08,0.08,0,0,0.3,0.08,0,0,0,0,0,0,0,179
98.65,0,0,0.11,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.08,0,0,0,0,0,0,185
96,0,0,0,0,0,0,0,0,0,0.75,0,0,0.85,0,0,0,0,0,0,0,0.6,0,0.475,0,0,0,0,0,0,133
98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0,0,0,187
99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,210
99.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.3,0.225,0,0,0,0,0,0,0,210
99.254,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0.026,0,0.1,0,0.3,0.02,0,0,0,0,0,0,0,192
99.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0.25,0,0,0,0,0,0,0,0,191
99.23,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.05,0.1,0,0,0.1,0,0.3,0.02,0,0,0,0,0,0,0,201
99.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,179
99.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0.25,0,0,0,0,0,0,0,0,185
99.3315,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0.65,0,0,0,0,0,0,0,0,85
98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0,0,0,187
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.7,0.1,0,0,0,0,0,0,0,191
98.85,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0,0,0,80
98.215,0,0.7,0.15,0.05,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.05,0,0.005,0.025,0,0,0,0,187
98.075,0,0,0.525,0,0,0,0,0,0,0.25,0,0,0,0,0,0.225,0,0.1,0,0,0.55,0,0.275,0,0,0,0,0,0,162
98.075,0,0,0.1,0,0,0,0,0,0,0.25,0,0,0,0,0,0.225,0,0.525,0,0,0.55,0,0.275,0,0,0,0,0,0,162
99.4,0,0.06,0,0.0575,0,0,0,0,0,0.04,0,0,0.09,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,196
99.4,0,0.1,0,0.07,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,195
99.5,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
