,inventory,item_url
51,Error here,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/daawat-devaaya-5-kg
52,Error here,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/brown-basmati-rice-indya-5kg
53,Error here,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/basmati-rice-shan-5kg
54,"
Inventory policy :

                
                12
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans/products/pop-corn-pattu-1-kg
55,"
Inventory policy :

                
                15
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans/products/soya-beans-pattu-1kg
56,"
Inventory policy :

                
                14
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans/products/red-kidney-beans-light-1kg
57,"
Inventory policy :

                
                14
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans/products/red-kidney-beans-dark-pattu-1kg
58,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/beans/products/red-kidney-beans-dark-jk-2kg
59,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans/products/poona-beans-jk-1kg
60,"
Inventory policy :

                
                5
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans/products/pinto-beans-jk-1kg
61,"
Inventory policy :

                
                3
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans/products/mung-beans-celera-jk-1kg
62,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/beans/products/mung-beans-berkin-jk-2kg
63,"
Inventory policy :

                
                7
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans-lentils/products/sago-indya-500g
64,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans-lentils/products/cranberry-beans-pattu-1kg
65,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/beans-lentils/products/mung-dal-parsram-1-kg
66,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/beans-lentils/products/wheat-pattu-1kg
67,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/lakshmiji-statue-brass-no-3
68,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/lakshmi-statue-brass-no-2
69,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/ganesha-statue-brass-no-4
70,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/ganesha-statue-brass-no-2
71,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/ganesh-lakshmiji-statue-5
72,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/ganesh-lakshmi-ji-statue-4
73,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/pooja-brass-bell-big-hanuman
74,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/pooja-brass-bell-big-ganesha
75,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bell-statue/products/pooja-brass-bell-big
76,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/beverages/products/powerade-gold-rush-sports-drink-600ml
77,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bin-liners/products/glad-handle-tie-medium-30
78,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bin-liners/products/kitchen-tidy-bags-b-g
79,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bin-liners/products/glad-handle-tie-lrg-25
80,"
Inventory policy :

                
                5
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biryani-rice/products/biryani-basmati-rice-daawat-10kg
