name,inventory,price,price_correspondance,collection,item_url
"PENNE PASTA ( FAMILY PACK), SAN REMO, 750 G",9,$4.50,'/products/penne-pasta-family-pack-san-remo-750-g',basmati-rice,https://www.ajijo.com.au/collections/basmati-rice/products/penne-pasta-family-pack-san-remo-750-g
"MACARONI , SAN REMO, 500 G",10,$3.50,'/products/macaroni-san-remo-500-g',basmati-rice,https://www.ajijo.com.au/collections/basmati-rice/products/macaroni-san-remo-500-g
"ELBOW PASTA, SAN REMO, 500 G",11,$3.50,'/products/elbow-pasta-san-remo-500-g',basmati-rice,https://www.ajijo.com.au/collections/basmati-rice/products/elbow-pasta-san-remo-500-g
"ANGEL HAIR SPAGHETTI, SAN REMO, 500 G",10,$3.50,'/products/angel-hair-spaghetti-san-remo-500-g',basmati-rice,https://www.ajijo.com.au/collections/basmati-rice/products/angel-hair-spaghetti-san-remo-500-g
"IDLI/DOSA RICE, KOTTACKAL MAYIL, 5 KG",7,$12.50,'/products/idli-dosa-rice-kottackal-mayil-5-kg',basmati-rice,https://www.ajijo.com.au/collections/basmati-rice/products/idli-dosa-rice-kottackal-mayil-5-kg
"MATTA RICE, KOTTACKAL, 10 KG",-299,$23.99,'/products/copy-of-matta-rice-kottackal-mayil-10-kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/copy-of-matta-rice-kottackal-mayil-10-kg
"Basmati rice, Extra Long Grain, Miller 5kg",-299,$20.99,'/products/basmati-rice-miller-5kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/basmati-rice-miller-5kg
"Basmati Rice, India Today,1kg",-299,$4.99,'/products/rice-1kg-india-today',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/rice-1kg-india-today
"Basmati rice, Pattu Premium 5kg",-299,$15.50,'/products/pattu-premium-basmati-rice-5-kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/pattu-premium-basmati-rice-5-kg
"Basmati rice, India Gate Premium 5kg",-299,$18.99,'/products/india-gate-premium-basmati-rice-5kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/india-gate-premium-basmati-rice-5kg
"Basmati Rice, India Gate Premium 10kg",-299,$36.99,'/products/india-gate-premium-basmati-rice-10kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/india-gate-premium-basmati-rice-10kg
Basmati Rice India Gate Classic 5kg,-299,$26.50,'/products/india-gate-classic-basmati-rice-5kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/india-gate-classic-basmati-rice-5kg
"Basmati rice, India Gate Classic 10kg",-299,$45.99,'/products/india-gate-classic-basmati-rice-10kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/india-gate-classic-basmati-rice-10kg
"Basmati rice, Daawat Select 1kg",-299,$5.95,'/products/daawat-select-rice-1kg',basmati-rice?page=2,https://www.ajijo.com.au/collections/basmati-rice?page=2/products/daawat-select-rice-1kg
