name,price_correspondance,collection,price
POONA BEANS JK 1KG,'/products/poona-beans-jk-1kg',beans,$6.50
PINTO BEANS JK 1KG,'/products/pinto-beans-jk-1kg',beans,$3.95
MUNG BEANS CELERA JK 1KG,'/products/mung-beans-celera-jk-1kg',beans,$4.25
MUNG BEANS BERKIN JK 2KG,'/products/mung-beans-berkin-jk-2kg',beans,$8.99
SAGO INDYA 500G,'/products/sago-indya-500g',beans-lentils,$3.99
CRANBERRY BEANS PATTU 1KG,'/products/cranberry-beans-pattu-1kg',beans-lentils,$5.99
MUNG DAL PARSRAM 1 KG,'/products/mung-dal-parsram-1-kg',beans-lentils,$4.50
WHEAT PATTU 1KG,'/products/wheat-pattu-1kg',beans-lentils,$3.50
LAKSHMIJI STATUE BRASS NO 3,'/products/lakshmiji-statue-brass-no-3',bell-statue,$12.99
LAKSHMI STATUE BRASS NO 2,'/products/lakshmi-statue-brass-no-2',bell-statue,$10.99
GANESHA STATUE BRASS NO 4,'/products/ganesha-statue-brass-no-4',bell-statue,$15.99
GANESHA STATUE BRASS NO 2,'/products/ganesha-statue-brass-no-2',bell-statue,$10.99
"GANESH LAKSHMIJI STATUE 5""",'/products/ganesh-lakshmiji-statue-5',bell-statue,$21.00
"GANESH LAKSHMI JI STATUE 4""",'/products/ganesh-lakshmi-ji-statue-4',bell-statue,$15.00
POOJA BRASS BELL BIG HANUMAN,'/products/pooja-brass-bell-big-hanuman',bell-statue,$22.99
POOJA BRASS BELL BIG GANESHA,'/products/pooja-brass-bell-big-ganesha',bell-statue,$17.99
POOJA BRASS BELL BIG,'/products/pooja-brass-bell-big',bell-statue,$17.99
Powerade Gold Rush Sports Drink 600ml,'/products/powerade-gold-rush-sports-drink-600ml',beverages,$4.50
GLAD HANDLE TIE MEDIUM 30,'/products/glad-handle-tie-medium-30',bin-liners,$4.65
KITCHEN TIDY BAGS B&G,'/products/kitchen-tidy-bags-b-g',bin-liners,$3.25
GLAD HANDLE TIE LRG 25,'/products/glad-handle-tie-lrg-25',bin-liners,$4.65
"Biryani Basmati Rice, Daawat, 10kg",'/products/biryani-basmati-rice-daawat-10kg',biryani-rice,$49.99
"Biryani Basmati Rice, Daawat 1kg",'/products/daawat-biryani-rice1kg',biryani-rice,$5.99
"Biryani Basmati Rice, Daawat 5kg",'/products/biryani-rice-daawat-5kg',biryani-rice,$23.99
